,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
342,talakan,24,RU,1608069013,86,50.32,130.37,246.53,2.29
343,linxia,99,CN,1608069013,85,35.6,103.21,265.48,0.34
344,feodosiya,60,UA,1608069014,83,45.03,35.38,278.65,9.25
345,ko samui,100,TH,1608069014,74,9.54,99.94,300.89,2.8
346,sorong,100,ID,1608069014,79,-0.88,131.25,301.13,4.55
347,puerto leguizamo,100,CO,1608069014,72,-0.19,-74.78,300.96,1.02
348,san policarpo,100,PH,1608069014,83,12.18,125.51,300.52,7.83
349,melo,0,UY,1608069014,59,-32.37,-54.18,296.18,2.39
350,qujing,96,CN,1608069014,91,25.48,103.78,283.18,2.5
351,anadyr,75,RU,1608069014,78,64.75,177.48,265.15,4.0
352,inyonga,19,TZ,1608069014,87,-6.72,32.07,291.52,0.37
353,puerto quijarro,98,BO,1608069014,34,-17.78,-57.77,308.24,2.12
354,saint-francois,90,FR,1608069014,100,46.42,3.91,282.59,2.1
355,tambura,100,SS,1608069014,32,5.6,27.47,298.88,1.29
356,alugan,100,PH,1608069014,84,12.22,125.48,300.2,7.26
357,uige,100,AO,1608069015,94,-7.61,15.06,292.62,0.77
358,vredendal,0,ZA,1608069015,62,-31.67,18.5,290.33,2.05
359,hofn,100,IS,1608069015,91,64.25,-15.21,277.29,10.11
360,husavik,90,IS,1608069015,91,66.04,-17.34,276.15,5.1
361,ahipara,0,NZ,1608069015,55,-35.17,173.17,293.77,3.24
362,the valley,20,AI,1608069015,74,18.22,-63.06,300.15,2.1
363,salto,75,UY,1608068943,51,-31.38,-57.97,301.15,3.6
364,waipawa,0,NZ,1608069015,72,-41.41,175.52,290.15,13.4
365,klaksvik,100,FO,1608069015,100,62.23,-6.59,280.15,4.1
366,saint-maximin-la-sainte-baume,97,FR,1608069015,100,43.45,5.86,284.26,1.34
367,ampanihy,46,MG,1608069015,72,-24.7,44.75,295.62,1.43
368,mehamn,75,NO,1608069015,86,71.04,27.85,274.15,1.5
369,roma,1,US,1608068755,41,43.21,-75.46,269.15,5.1
370,antofagasta,75,CL,1608068951,68,-23.65,-70.4,293.15,7.2
371,naze,75,JP,1608068852,76,28.37,129.48,287.15,6.7
372,keetmanshoop,0,NA,1608069016,22,-26.58,18.13,294.39,3.04
373,sao felix do xingu,74,BR,1608069016,66,-6.64,-51.99,298.8,0.57
374,la peca,54,PE,1608069016,57,-5.61,-78.44,300.67,1.35
375,brokopondo,71,SR,1608069016,85,4.75,-55.17,298.91,3.62
376,okhotsk,91,RU,1608069016,85,59.38,143.3,255.53,10.65
377,maragogi,82,BR,1608068727,76,-9.01,-35.22,299.0,4.33
378,verkhnyaya sinyachikha,91,RU,1608069016,86,57.98,61.67,265.04,3.4
379,coquimbo,75,CL,1608068951,77,-29.95,-71.34,289.15,6.2
380,chibombo,100,ZM,1608069016,92,-14.66,28.07,292.33,2.22
381,lander,1,US,1608069016,68,42.83,-108.73,270.93,2.1
382,hirara,95,JP,1608069016,83,24.8,125.28,292.6,12.37
